clip_id,frames,duration_s,ground_offset_m
CMU_029_06,2677,66.925,0.16814
CMU_029_07,1046,26.15,0.16907
CMU_029_08,758,18.95,0.16937
CMU_029_09,1241,31.025,0.17211
CMU_029_10,2647,66.175,0.16881
CMU_029_11,1237,30.925,0.16623
CMU_029_12,5005,125.125,0.16936
CMU_029_13,4885,122.125,0.16741
CMU_031_01,1315,32.875,0.15581
CMU_031_02,753,18.825,0.13179
CMU_031_03,1230,30.75,0.12091
CMU_031_06,700,17.5,0.1419
CMU_031_07,1227,30.675,0.14016
CMU_031_08,2617,65.425,0.13753
CMU_032_01,157,3.925,0.14408
CMU_032_02,141,3.525,0.13754
CMU_032_03,1076,26.9,0.16397
CMU_032_04,766,19.15,0.15584
CMU_032_05,1213,30.325,0.1249
CMU_032_06,2613,65.325,0.14124
CMU_032_07,1036,25.9,0.15996
CMU_032_08,742,18.55,0.15799
CMU_032_09,1241,31.025,0.14687
CMU_032_10,2643,66.075,0.15446
CMU_032_11,4891,122.275,0.13603
CMU_035_01,116,2.9,0.15906
CMU_035_02,131,3.275,0.15963
CMU_035_03,139,3.475,0.15904
CMU_035_04,141,3.525,0.15748
CMU_035_05,139,3.475,0.15644
CMU_035_06,142,3.55,0.16099
CMU_035_07,116,2.9,0.16306
CMU_035_08,148,3.7,0.16174
CMU_035_09,124,3.1,0.16327
CMU_035_10,140,3.5,0.16101
CMU_035_11,124,3.1,0.16036
CMU_035_12,129,3.225,0.16258
CMU_035_13,147,3.675,0.16145
CMU_035_14,133,3.325,0.16867
CMU_035_15,131,3.275,0.16343
CMU_035_16,143,3.575,0.16307
CMU_035_17,52,1.3,0.13408
CMU_035_18,55,1.375,0.132
CMU_035_19,50,1.25,0.13091
CMU_035_20,51,1.275,0.13074
CMU_035_21,50,1.25,0.12865
CMU_035_22,52,1.3,0.12993
CMU_035_23,50,1.25,0.13414
CMU_035_24,46,1.15,0.12635
CMU_035_25,51,1.275,0.13504
CMU_035_26,43,1.075,0.12994
CMU_035_27,3265,81.625,0.01255
CMU_035_28,135,3.375,0.15874
CMU_035_29,161,4.025,0.1606
CMU_035_30,134,3.35,0.16101
CMU_035_31,136,3.4,0.15945
CMU_035_32,127,3.175,0.15893
CMU_035_33,136,3.4,0.15662
CMU_035_34,135,3.375,0.15756
CMU_036_02,1420,35.5,0.08564
CMU_036_03,1280,32.0,0.07544
CMU_036_09,1293,32.325,0.11832
CMU_037_01,166,4.15,0.14668
CMU_038_01,114,2.85,0.13832
CMU_038_02,136,3.4,0.14122
CMU_038_03,250,6.25,0.05507
CMU_038_04,2873,71.825,0.11665
CMU_039_11,295,7.375,0.14896
CMU_040_02,1660,41.5,0.16047
CMU_040_03,2059,51.475,0.15927
CMU_040_04,1961,49.025,0.13712
CMU_040_05,2025,50.625,0.14862
CMU_040_10,2067,51.675,0.14126
CMU_040_11,2002,50.05,0.12337
CMU_040_12,2809,70.225,0.15953
CMU_041_02,1459,36.475,0.16496
CMU_041_03,1981,49.525,0.16545
CMU_041_04,2351,58.775,0.15597
CMU_041_05,2404,60.1,0.16807
CMU_041_06,2365,59.125,0.15692
CMU_041_10,1299,32.475,0.16466
CMU_041_11,1047,26.175,0.16279
CMU_045_01,148,3.7,0.14621
CMU_046_01,201,5.025,0.14346
CMU_047_01,436,10.9,0.15849
CMU_049_01,213,5.325,0.15982
CMU_049_02,691,17.275,0.14958
CMU_049_03,497,12.425,0.15648
CMU_049_04,80,2.0,0.09921
CMU_049_05,51,1.275,0.10209
CMU_049_06,157,3.925,0.07283
CMU_049_07,153,3.825,0.0543
CMU_049_08,188,4.7,0.06378
CMU_049_09,635,15.875,0.16577
CMU_049_10,471,11.775,0.15904
CMU_049_11,396,9.9,0.16216
CMU_049_12,373,9.325,0.16564
CMU_049_13,171,4.275,0.16085
CMU_049_14,202,5.05,0.1642
CMU_049_15,312,7.8,0.139
CMU_049_16,375,9.375,0.15712
CMU_049_17,247,6.175,0.16223
CMU_049_18,363,9.075,0.16491
CMU_049_19,315,7.875,0.16431
CMU_049_20,296,7.4,0.16632
CMU_049_22,426,10.65,0.15954
CMU_056_01,499,12.475,0.13766
CMU_056_04,2252,56.3,0.12413
CMU_056_05,2449,61.225,0.14044
CMU_056_06,2258,56.45,0.13994
CMU_056_07,3136,78.4,0.1318
CMU_056_08,1388,34.7,0.12716
CMU_060_02,1396,34.9,0.04547
CMU_060_03,1216,30.4,0.1723
CMU_060_05,1114,27.85,0.17542
CMU_060_12,1123,28.075,0.17159
CMU_060_14,1295,32.375,0.15797
CMU_061_01,1491,37.275,0.11672
CMU_061_02,1396,34.9,0.15205
CMU_061_03,1216,30.4,0.12453
CMU_061_04,1243,31.075,0.14488
CMU_061_05,1114,27.85,0.14195
CMU_061_06,1177,29.425,0.13742
CMU_061_07,1377,34.425,0.14166
CMU_061_08,2277,56.925,0.13732
CMU_061_09,1713,42.825,0.10953
CMU_061_10,794,19.85,0.15089
CMU_061_15,1423,35.575,0.14696
CMU_069_01,153,3.825,0.1466
CMU_069_02,111,2.775,0.14551
CMU_069_03,140,3.5,0.13472
CMU_069_04,139,3.475,0.1505
CMU_069_05,147,3.675,0.13904
CMU_069_06,1734,43.35,0.12203
CMU_069_07,1743,43.575,0.11689
CMU_069_08,1766,44.15,0.11539
CMU_069_09,1699,42.475,0.1179
CMU_069_10,1911,47.775,0.13007
CMU_069_11,1650,41.25,0.12804
CMU_069_12,1603,40.075,0.12458
CMU_069_13,1580,39.5,0.09737
CMU_069_14,1635,40.875,0.13113
CMU_069_15,1497,37.425,0.13446
CMU_069_16,373,9.325,0.14859
CMU_069_17,330,8.25,0.15223
CMU_069_18,347,8.675,0.14749
CMU_069_19,369,9.225,0.14912
CMU_069_20,178,4.45,0.15641
CMU_069_21,199,4.975,0.15983
CMU_069_22,161,4.025,0.15254
CMU_069_23,183,4.575,0.14653
CMU_069_24,139,3.475,0.14628
CMU_069_25,151,3.775,0.14469
CMU_069_26,139,3.475,0.13579
CMU_069_27,137,3.425,0.14216
CMU_069_28,151,3.775,0.15276
CMU_069_29,127,3.175,0.15078
CMU_069_30,125,3.125,0.15535
CMU_069_31,121,3.025,0.13574
CMU_069_32,125,3.125,0.12175
CMU_069_33,130,3.25,0.14496
CMU_069_34,1587,39.675,0.10878
CMU_069_36,1530,38.25,0.13264
CMU_069_37,1441,36.025,0.06741
CMU_069_38,1636,40.9,0.06
CMU_069_39,1490,37.25,0.10326
CMU_069_40,1546,38.65,0.10114
CMU_069_41,1563,39.075,0.12663
CMU_069_42,1701,42.525,0.14631
CMU_069_43,1652,41.3,0.13807
CMU_069_44,1880,47.0,0.10067
CMU_069_45,1581,39.525,0.12662
CMU_069_46,1895,47.375,0.12604
CMU_069_47,1761,44.025,0.11767
CMU_069_48,1670,41.75,0.15199
CMU_069_49,1893,47.325,0.1005
CMU_069_50,171,4.275,0.12994
CMU_069_51,205,5.125,0.13142
CMU_069_52,177,4.425,0.11218
CMU_069_53,147,3.675,0.12578
CMU_069_54,163,4.075,0.08709
CMU_069_55,154,3.85,0.12156
CMU_069_56,253,6.325,0.15224
CMU_069_57,201,5.025,0.15484
CMU_069_58,247,6.175,0.15705
CMU_069_59,231,5.775,0.15257
CMU_069_60,212,5.3,0.15127
CMU_069_61,207,5.175,0.13289
CMU_069_62,214,5.35,0.15493
CMU_069_63,178,4.45,0.15003
CMU_069_64,180,4.5,0.15512
CMU_069_65,218,5.45,0.14982
CMU_069_66,190,4.75,0.15596
CMU_069_67,208,5.2,0.14642
CMU_075_01,248,6.2,0.1147
CMU_075_02,156,3.9,0.1255
CMU_075_03,134,3.35,0.16384
CMU_075_04,189,4.725,0.14818
CMU_075_05,195,4.875,0.12985
CMU_075_06,482,12.05,0.14204
CMU_075_07,742,18.55,0.13673
CMU_075_08,739,18.475,0.1405
CMU_075_09,244,6.1,0.14064
CMU_075_10,180,4.5,0.14472
CMU_075_11,114,2.85,0.15552
CMU_075_12,304,7.6,0.13834
CMU_075_13,244,6.1,0.16206
CMU_075_14,293,7.325,0.15528
CMU_075_15,1159,28.975,0.15367
CMU_076_01,307,7.675,0.1508
CMU_076_02,385,9.625,0.1522
CMU_076_06,221,5.525,0.16106
CMU_076_08,497,12.425,0.16491
CMU_076_09,525,13.125,0.16862
CMU_076_10,451,11.275,0.1716
CMU_076_11,168,4.2,0.16273
CMU_077_02,621,15.525,0.17764
CMU_077_03,652,16.3,0.16661
CMU_077_04,585,14.625,0.16036
CMU_077_10,456,11.4,0.14801
CMU_077_11,210,5.25,0.15863
CMU_077_12,647,16.175,0.15442
CMU_077_13,921,23.025,0.13237
CMU_077_14,656,16.4,0.14432
CMU_077_15,715,17.875,0.1459
CMU_077_16,431,10.775,0.01873
CMU_077_17,475,11.875,0.03392
CMU_077_18,565,14.125,0.0456
CMU_077_21,870,21.75,0.17483
CMU_077_27,481,12.025,0.17162
CMU_077_28,1976,49.4,0.14748
CMU_077_29,1399,34.975,0.14114
CMU_077_30,837,20.925,0.15833
CMU_077_31,1400,35.0,0.14959
CMU_077_32,1258,31.45,0.15874
CMU_077_33,1994,49.85,0.1447
CMU_077_34,743,18.575,0.16152
CMU_078_01,52,1.3,0.12475
CMU_078_02,88,2.2,0.1369
CMU_078_03,55,1.375,0.13265
CMU_078_04,46,1.15,0.0823
CMU_078_05,52,1.3,0.11693
CMU_078_07,43,1.075,0.12933
CMU_078_09,46,1.15,0.1054
CMU_078_10,43,1.075,0.12605
CMU_078_13,55,1.375,0.12124
CMU_078_14,53,1.325,0.11758
CMU_078_15,46,1.15,0.11908
CMU_078_16,62,1.55,0.12183
CMU_078_17,56,1.4,0.10362
CMU_078_18,67,1.675,0.11149
CMU_078_19,55,1.375,0.11202
CMU_078_20,73,1.825,0.13462
CMU_078_21,71,1.775,0.11069
CMU_078_22,199,4.975,0.14752
CMU_078_23,169,4.225,0.14127
CMU_078_24,79,1.975,0.1357
CMU_078_25,115,2.875,0.15332
CMU_078_26,105,2.625,0.11056
CMU_078_27,94,2.35,0.14104
CMU_078_28,146,3.65,0.12907
CMU_078_29,53,1.325,0.10585
CMU_078_30,231,5.775,0.07238
CMU_078_31,262,6.55,0.13694
CMU_078_32,68,1.7,0.13005
CMU_078_33,73,1.825,0.09835
CMU_082_08,562,14.05,0.15879
CMU_082_09,427,10.675,0.16301
CMU_082_10,184,4.6,0.15059
CMU_082_11,228,5.7,0.14983
CMU_082_14,298,7.45,0.15807
CMU_082_15,235,5.875,0.15415
CMU_083_18,152,3.8,0.17517
CMU_083_19,166,4.15,0.17577
CMU_083_20,171,4.275,0.18269
CMU_083_21,169,4.225,0.17408
CMU_083_33,427,10.675,0.17696
CMU_083_36,350,8.75,0.17275
CMU_083_37,315,7.875,0.17474
CMU_083_38,332,8.3,0.17273
CMU_083_39,320,8.0,0.17303
CMU_083_40,172,4.3,0.17499
CMU_083_41,153,3.825,0.17144
CMU_083_42,176,4.4,0.18236
CMU_083_43,195,4.875,0.14507
CMU_083_44,217,5.425,0.16844
CMU_083_45,161,4.025,0.16973
CMU_083_46,163,4.075,0.16612
CMU_083_48,145,3.625,0.1712
CMU_083_49,148,3.7,0.17368
CMU_083_51,193,4.825,0.15729
CMU_083_52,165,4.125,0.15514
CMU_083_53,176,4.4,0.17072
CMU_083_54,136,3.4,0.12448
CMU_083_55,242,6.05,0.17537
CMU_083_56,163,4.075,0.15074
CMU_083_57,133,3.325,0.14472
CMU_083_58,117,2.925,0.11484
CMU_083_59,196,4.9,0.13189
CMU_083_60,131,3.275,0.15947
CMU_083_61,164,4.1,0.13993
CMU_083_62,154,3.85,0.05888
CMU_083_63,225,5.625,0.17298
CMU_083_64,189,4.725,0.14512
CMU_083_65,130,3.25,0.17105
CMU_083_66,220,5.5,0.17852
CMU_083_67,221,5.525,0.1702
CMU_086_01,1522,38.05,0.07657
CMU_086_02,3535,88.375,0.05235
CMU_086_03,2797,69.925,0.03919
CMU_086_07,2896,72.4,0.04986
CMU_086_08,3064,76.6,0.06716
CMU_086_11,1887,47.175,0.10291
CMU_086_14,2014,50.35,0.09375
CMU_090_06,205,5.125,0.10836
CMU_090_07,295,7.375,0.13647
CMU_091_01,909,22.725,0.1452
CMU_091_02,579,14.475,0.1354
CMU_091_03,617,15.425,0.13535
CMU_091_04,717,17.925,0.12818
CMU_091_05,896,22.4,0.14533
CMU_091_06,42,1.05,0.15103
CMU_091_07,856,21.4,0.14593
CMU_091_08,1321,33.025,0.16066
CMU_091_10,1054,26.35,0.15223
CMU_091_11,617,15.425,0.13304
CMU_091_12,736,18.4,0.12585
CMU_091_13,982,24.55,0.12458
CMU_091_14,919,22.975,0.16175
CMU_091_15,1027,25.675,0.06454
CMU_091_16,627,15.675,0.11177
CMU_091_17,502,12.55,0.14908
CMU_091_18,1117,27.925,0.11566
CMU_091_19,625,15.625,0.14338
CMU_091_20,921,23.025,0.13207
CMU_091_21,1286,32.15,0.16667
CMU_091_22,698,17.45,0.13826
CMU_091_23,885,22.125,0.14894
CMU_091_24,1264,31.6,0.15452
CMU_091_25,1042,26.05,0.15289
CMU_091_26,691,17.275,0.15065
CMU_091_27,961,24.025,0.15079
CMU_091_28,1099,27.475,0.07841
CMU_091_29,723,18.075,0.15715
CMU_091_30,1042,26.05,0.11356
CMU_091_31,661,16.525,0.15455
CMU_091_32,1238,30.95,0.12672
CMU_091_33,896,22.4,0.09434
CMU_091_34,733,18.325,0.1514
CMU_091_35,1013,25.325,0.15893
CMU_091_36,292,7.3,0.14609
CMU_091_37,101,2.525,0.15762
CMU_091_38,148,3.7,0.15746
CMU_091_39,145,3.625,0.15449
CMU_091_40,153,3.825,0.16243
CMU_091_41,164,4.1,0.16231
CMU_091_42,183,4.575,0.16119
CMU_091_43,71,1.775,0.15416
CMU_091_44,109,2.725,0.16204
CMU_091_45,120,3.0,0.1625
CMU_091_46,104,2.6,0.15844
CMU_091_47,153,3.825,0.16058
CMU_091_48,142,3.55,0.16142
CMU_091_49,157,3.925,0.15958
CMU_091_50,217,5.425,0.16574
CMU_091_51,158,3.95,0.16551
CMU_091_52,166,4.15,0.16564
CMU_091_53,181,4.525,0.15439
CMU_091_54,223,5.575,0.14215
CMU_091_55,152,3.8,0.15841
CMU_091_56,163,4.075,0.1608
CMU_091_57,388,9.7,0.15141
CMU_091_58,160,4.0,0.14147
CMU_091_59,100,2.5,0.16564
CMU_091_60,118,2.95,0.15781
CMU_091_61,117,2.925,0.16121
CMU_091_62,613,15.325,0.11409
CMU_104_53,95,2.375,0.02582
CMU_104_54,79,1.975,0.01966
CMU_104_55,164,4.1,0.04121
CMU_104_56,118,2.95,0.15855
CMU_104_57,124,3.1,0.1558
CMU_105_01,909,22.725,0.1452
CMU_105_02,579,14.475,0.1354
CMU_105_03,617,15.425,0.13535
CMU_105_04,717,17.925,0.12818
CMU_105_05,896,22.4,0.14533
CMU_105_07,856,21.4,0.14593
CMU_105_08,1321,33.025,0.16066
CMU_105_10,1054,26.35,0.15223
CMU_105_17,502,12.55,0.14908
CMU_105_18,1117,27.925,0.11566
CMU_105_19,625,15.625,0.14338
CMU_105_20,921,23.025,0.13207
CMU_105_22,698,17.45,0.13826
CMU_105_29,723,18.075,0.15715
CMU_105_31,661,16.525,0.15455
CMU_105_34,733,18.325,0.1514
CMU_105_36,292,7.3,0.14609
CMU_105_37,101,2.525,0.15762
CMU_105_38,148,3.7,0.15746
CMU_105_39,145,3.625,0.15449
CMU_105_40,153,3.825,0.16243
CMU_105_41,164,4.1,0.16231
CMU_105_42,183,4.575,0.16119
CMU_105_43,71,1.775,0.15416
CMU_105_44,109,2.725,0.16204
CMU_105_45,120,3.0,0.1625
CMU_105_46,104,2.6,0.15844
CMU_105_47,153,3.825,0.16058
CMU_105_48,142,3.55,0.16142
CMU_105_49,157,3.925,0.15958
CMU_105_50,217,5.425,0.16574
CMU_105_51,158,3.95,0.16551
CMU_105_52,166,4.15,0.16564
CMU_105_53,181,4.525,0.15439
CMU_105_54,223,5.575,0.14215
CMU_105_55,152,3.8,0.15841
CMU_105_56,163,4.075,0.1608
CMU_105_57,388,9.7,0.15141
CMU_105_58,160,4.0,0.14147
CMU_105_59,100,2.5,0.16564
CMU_105_60,118,2.95,0.15781
CMU_105_61,117,2.925,0.16121
CMU_105_62,613,15.325,0.11409
CMU_107_01,173,4.325,0.14251
CMU_107_02,225,5.625,0.13673
CMU_107_03,168,4.2,0.13799
CMU_107_04,141,3.525,0.14249
CMU_107_05,140,3.5,0.13536
CMU_107_06,120,3.0,0.12819
CMU_107_07,168,4.2,0.13144
CMU_107_08,272,6.8,0.08645
CMU_107_09,205,5.125,0.14583
CMU_107_11,196,4.9,0.13487
CMU_107_12,81,2.025,0.14916
CMU_107_13,68,1.7,0.13963
CMU_107_14,143,3.575,0.15763
CMU_108_01,237,5.925,0.13611
CMU_108_02,377,9.425,0.1279
CMU_108_03,405,10.125,0.13025
CMU_108_04,57,1.425,0.09284
CMU_108_05,57,1.425,0.09718
CMU_108_06,60,1.5,0.10015
CMU_108_07,70,1.75,0.10135
CMU_108_08,71,1.775,0.08963
CMU_108_09,80,2.0,0.12433
CMU_108_12,42,1.05,0.0923
CMU_108_13,49,1.225,0.09889
CMU_108_14,55,1.375,0.09188
CMU_108_17,73,1.825,0.0822
CMU_108_18,79,1.975,0.08625
CMU_108_19,81,2.025,0.08838
CMU_108_20,90,2.25,0.12149
CMU_108_21,161,4.025,0.11033
CMU_108_22,151,3.775,0.11939
CMU_108_23,218,5.45,0.09183
CMU_108_24,173,4.325,0.10688
CMU_108_25,200,5.0,0.09552
CMU_108_26,181,4.525,0.08654
CMU_108_27,136,3.4,0.10987
CMU_108_28,117,2.925,0.09763
CMU_114_13,1040,26.0,0.15746
CMU_114_14,1947,48.675,0.15245
CMU_114_15,458,11.45,0.16061
CMU_118_01,235,5.875,0.15323
CMU_118_02,225,5.625,0.14996
CMU_118_03,161,4.025,0.15215
CMU_118_04,211,5.275,0.15028
CMU_118_05,232,5.8,0.15232
CMU_118_06,177,4.425,0.15306
CMU_118_07,229,5.725,0.15168
CMU_118_08,211,5.275,0.15193
CMU_118_09,157,3.925,0.14989
CMU_118_10,171,4.275,0.15341
CMU_118_11,226,5.65,0.1528
CMU_118_12,232,5.8,0.15115
CMU_118_13,223,5.575,0.1535
CMU_118_14,251,6.275,0.15247
CMU_118_15,210,5.25,0.15008
CMU_118_16,217,5.425,0.15124
CMU_118_17,212,5.3,0.14814
CMU_118_18,194,4.85,0.14874
CMU_118_19,200,5.0,0.14671
CMU_118_20,182,4.55,0.1512
CMU_118_21,248,6.2,0.14851
CMU_118_22,212,5.3,0.14728
CMU_118_23,214,5.35,0.14661
CMU_118_24,232,5.8,0.15159
CMU_118_25,191,4.775,0.15017
CMU_118_26,213,5.325,0.1507
CMU_118_27,214,5.35,0.14411
CMU_118_28,229,5.725,0.14796
CMU_118_29,190,4.75,0.14954
CMU_118_30,271,6.775,0.15714
CMU_118_32,622,15.55,0.14901
CMU_120_20,3574,89.35,0.16914
CMU_124_03,316,7.9,0.15069
CMU_124_04,238,5.95,0.15932
CMU_124_05,259,6.475,0.1493
CMU_124_06,228,5.7,0.12594
CMU_127_02,583,14.575,0.15037
CMU_127_03,106,2.65,0.14102
CMU_127_04,145,3.625,0.15621
CMU_127_05,125,3.125,0.13589
CMU_127_06,53,1.325,0.09713
CMU_127_07,45,1.125,0.10222
CMU_127_08,43,1.075,0.09427
CMU_127_09,62,1.55,0.12526
CMU_127_10,52,1.3,0.11523
CMU_127_11,63,1.575,0.1282
CMU_127_12,55,1.375,0.12546
CMU_127_13,58,1.45,0.11299
CMU_127_14,46,1.15,0.11367
CMU_127_15,51,1.275,0.11004
CMU_127_16,82,2.05,0.1087
CMU_127_17,123,3.075,0.1272
CMU_127_18,127,3.175,0.12202
CMU_127_19,142,3.55,0.11908
CMU_127_20,116,2.9,0.1114
CMU_127_21,115,2.875,0.04388
CMU_127_22,116,2.9,0.09929
CMU_127_23,112,2.8,0.08376
CMU_127_24,109,2.725,0.06088
CMU_127_25,73,1.825,0.07395
CMU_127_26,79,1.975,0.10043
CMU_127_27,79,1.975,0.10788
CMU_127_28,69,1.725,0.09079
CMU_127_29,65,1.625,0.07862
CMU_127_30,76,1.9,0.07194
CMU_127_31,168,4.2,0.12212
CMU_127_32,105,2.625,0.11294
CMU_127_37,110,2.75,0.12496
CMU_127_38,60,1.5,0.0915
CMU_128_02,52,1.3,0.12132
CMU_128_03,51,1.275,0.11307
CMU_128_04,42,1.05,0.09754
CMU_128_05,65,1.625,0.10835
CMU_128_06,62,1.55,0.13066
CMU_128_07,111,2.775,0.13451
CMU_128_08,106,2.65,0.1327
CMU_128_09,53,1.325,0.01493
CMU_128_10,139,3.475,0.02269
CMU_128_11,122,3.05,0.0
